English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Huambisa;0;huam1247;0;hub;0;0;0;I;L;<10K
Achuar;0;achu1249;acu;0;0;0;0;0;0;Unknow
Shiwiar;0;shiw1235;acu;0;0;0;0;0;0;Unknow
Central-Western Kadugli-Krongo;0;cent2229;0;0;0;0;0;0;0;Unknow
Keiga;0;keig1242;0;kec;0;0;0;I;L;Unknow
Krongo-Tumtum;0;east2424;0;0;0;0;0;0;0;Unknow
Katcha-Kadugli-Miri-Kanga;0;katc1251;0;0;0;0;0;0;0;Unknow
Tulishi;0;tuli1249;0;tey;0;0;0;I;L;Unknow
Krongo;0;kron1241;0;kgo;0;0;0;I;L;Unknow
Tumtum;0;tumt1243;0;tbr;0;0;0;I;L;Unknow
Fama-Teis-Kua;0;fama1238;kgo;0;0;0;0;0;0;Unknow
Karondi;0;karo1296;tbr;0;0;0;0;0;0;Unknow
Nuclear Tumtum;0;nucl1438;tbr;0;0;0;0;0;0;Unknow
Talassa;0;tala1282;tbr;0;0;0;0;0;0;Unknow
Kanga;0;kang1288;0;kcp;0;0;0;I;L;Unknow
Katcha-Kadugli-Miri;0;katc1249;0;xtc;0;0;0;I;L;Unknow
Abu Sinun;0;abus1238;kcp;0;0;0;0;0;0;Unknow
Chiroro-Kursi;0;chir1285;kcp;0;0;0;0;0;0;Unknow
Krongo Abdalla;0;kron1244;kcp;0;0;0;0;0;0;Unknow
Kufa-Lima;0;kufa1238;kcp;0;0;0;0;0;0;Unknow
Nuclear Kanga;0;nucl1436;kcp;0;0;0;0;0;0;Unknow
Damba;0;damb1245;xtc;0;0;0;0;0;0;Unknow
Kadugli;0;kadu1257;xtc;0;0;0;0;0;0;Unknow
Katcha;0;katc1250;xtc;0;0;0;0;0;0;Unknow
Miri;0;miri1267;xtc;0;0;0;0;0;0;Unknow
Tumma;0;tumm1238;xtc;0;0;0;0;0;0;Unknow
Dar El Kabira;0;dare1242;tey;0;0;0;0;0;0;Unknow
Kamda;0;kamd1238;tey;0;0;0;0;0;0;Unknow
Nuclear Tulishi;0;nucl1437;tey;0;0;0;0;0;0;Unknow
Demik;0;demi1241;kec;0;0;0;0;0;0;Unknow
Nuclear Keiga;0;nucl1435;kec;0;0;0;0;0;0;Unknow
Kakua;0;cacu1241;0;0;0;0;0;0;0;Unknow
Nukak Makú;0;nuka1242;0;mbr;0;0;0;I;L;Unknow
Macú-Paraná Cacua;0;macu1261;cbv;0;0;0;0;0;0;Unknow
Vaupés Cacua;0;vaup1239;cbv;0;0;0;0;0;0;Unknow
Central Kalapuya;0;kala1400;0;0;0;0;0;0;0;Unknow
Tualatin-Yamhill;0;tual1242;0;0;0;0;0;0;0;Unknow
Yoncalla;0;yonc1234;0;0;0;0;0;0;0;Unknow
Masacara;0;masa1311;0;0;0;0;0;0;0;Unknow
Nuclear Kamakanan;0;nucl1661;0;0;0;0;0;0;0;Unknow
Cotoxo;0;coto1237;0;0;0;0;0;0;0;Unknow
Kamakan;0;kama1372;0;vkm;0;0;0;I;E;Unknow
Menien;0;meni1247;0;0;0;0;0;0;0;Unknow
Elevala;0;awin1249;0;0;0;0;0;0;0;Unknow
Aekyom;0;aeky1238;0;awi;0;0;0;I;L;<10K
